pokedex_no,pokedex_link,img_link2,name,variant,type,type2,gen
410,/wiki/Shieldon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e2/410Shieldon.png/70px-410Shieldon.png,Shieldon,,Rock,Steel,4
411,/wiki/Bastiodon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bc/411Bastiodon.png/70px-411Bastiodon.png,Bastiodon,,Rock,Steel,4
412,/wiki/Burmy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c9/412Burmy-Plant.png/70px-412Burmy-Plant.png,Burmy,Plant Cloak,Bug,Bug,4
NA,/wiki/Burmy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1f/412Burmy-Sandy.png/70px-412Burmy-Sandy.png,Burmy,Sandy Cloak,Bug,Bug,4
NA,/wiki/Burmy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/412Burmy-Trash.png/70px-412Burmy-Trash.png,Burmy,Trash Cloak,Bug,Bug,4
413,/wiki/Wormadam_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/db/413Wormadam-Plant.png/70px-413Wormadam-Plant.png,Wormadam,Plant Cloak,Bug,Grass,4
NA,/wiki/Wormadam_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1c/413Wormadam-Sandy.png/70px-413Wormadam-Sandy.png,Wormadam,Sandy Cloak,Bug,Ground,4
NA,/wiki/Wormadam_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0b/413Wormadam-Trash.png/70px-413Wormadam-Trash.png,Wormadam,Trash Cloak,Bug,Steel,4
414,/wiki/Mothim_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/18/414Mothim.png/70px-414Mothim.png,Mothim,,Bug,Flying,4
415,/wiki/Combee_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b6/415Combee.png/70px-415Combee.png,Combee,,Bug,Flying,4
416,/wiki/Vespiquen_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2c/416Vespiquen.png/70px-416Vespiquen.png,Vespiquen,,Bug,Flying,4
417,/wiki/Pachirisu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f4/417Pachirisu.png/70px-417Pachirisu.png,Pachirisu,,Electric,Electric,4
418,/wiki/Buizel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/83/418Buizel.png/70px-418Buizel.png,Buizel,,Water,Water,4
419,/wiki/Floatzel_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bf/419Floatzel.png/70px-419Floatzel.png,Floatzel,,Water,Water,4
420,/wiki/Cherubi_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a7/420Cherubi.png/70px-420Cherubi.png,Cherubi,,Grass,Grass,4
421,/wiki/Cherrim_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/25/421Cherrim-Overcast.png/70px-421Cherrim-Overcast.png,Cherrim,Overcast Form,Grass,Grass,4
NA,/wiki/Cherrim_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bc/421Cherrim-Sunny.png/70px-421Cherrim-Sunny.png,Cherrim,Sunshine Form,Grass,Grass,4
422,/wiki/Shellos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/422Shellos-West.png/70px-422Shellos-West.png,Shellos,West Sea,Water,Water,4
NA,/wiki/Shellos_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d5/422Shellos-East.png/70px-422Shellos-East.png,Shellos,East Sea,Water,Water,4
423,/wiki/Gastrodon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1d/423Gastrodon-West.png/70px-423Gastrodon-West.png,Gastrodon,West Sea,Water,Ground,4
NA,/wiki/Gastrodon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/1b/423Gastrodon-East.png/70px-423Gastrodon-East.png,Gastrodon,East Sea,Water,Ground,4
424,/wiki/Ambipom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/86/424Ambipom.png/70px-424Ambipom.png,Ambipom,,Normal,Normal,4
425,/wiki/Drifloon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/eb/425Drifloon.png/70px-425Drifloon.png,Drifloon,,Ghost,Flying,4
426,/wiki/Drifblim_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/71/426Drifblim.png/70px-426Drifblim.png,Drifblim,,Ghost,Flying,4
427,/wiki/Buneary_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a7/427Buneary.png/70px-427Buneary.png,Buneary,,Normal,Normal,4
428,/wiki/Lopunny_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c9/428Lopunny.png/70px-428Lopunny.png,Lopunny,,Normal,Normal,4
429,/wiki/Mismagius_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b4/429Mismagius.png/70px-429Mismagius.png,Mismagius,,Ghost,Ghost,4
430,/wiki/Honchkrow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/46/430Honchkrow.png/70px-430Honchkrow.png,Honchkrow,,Dark,Flying,4
431,/wiki/Glameow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/26/431Glameow.png/70px-431Glameow.png,Glameow,,Normal,Normal,4
432,/wiki/Purugly_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/80/432Purugly.png/70px-432Purugly.png,Purugly,,Normal,Normal,4
433,/wiki/Chingling_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ed/433Chingling.png/70px-433Chingling.png,Chingling,,Psychic,Psychic,4
434,/wiki/Stunky_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/75/434Stunky.png/70px-434Stunky.png,Stunky,,Poison,Dark,4
435,/wiki/Skuntank_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bc/435Skuntank.png/70px-435Skuntank.png,Skuntank,,Poison,Dark,4
436,/wiki/Bronzor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c1/436Bronzor.png/70px-436Bronzor.png,Bronzor,,Steel,Psychic,4
437,/wiki/Bronzong_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/aa/437Bronzong.png/70px-437Bronzong.png,Bronzong,,Steel,Psychic,4
438,/wiki/Bonsly_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e2/438Bonsly.png/70px-438Bonsly.png,Bonsly,,Rock,Rock,4
439,/wiki/Mime_Jr._(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/37/439Mime_Jr.png/70px-439Mime_Jr.png,Mime Jr.,,Psychic,Fairy,4
440,/wiki/Happiny_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/27/440Happiny.png/70px-440Happiny.png,Happiny,,Normal,Normal,4
441,/wiki/Chatot_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bf/441Chatot.png/70px-441Chatot.png,Chatot,,Normal,Flying,4
442,/wiki/Spiritomb_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/442Spiritomb.png/70px-442Spiritomb.png,Spiritomb,,Ghost,Dark,4
443,/wiki/Gible_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/68/443Gible.png/70px-443Gible.png,Gible,,Dragon,Ground,4
444,/wiki/Gabite_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9d/444Gabite.png/70px-444Gabite.png,Gabite,,Dragon,Ground,4
445,/wiki/Garchomp_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fa/445Garchomp.png/70px-445Garchomp.png,Garchomp,,Dragon,Ground,4
446,/wiki/Munchlax_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b2/446Munchlax.png/70px-446Munchlax.png,Munchlax,,Normal,Normal,4
447,/wiki/Riolu_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a2/447Riolu.png/70px-447Riolu.png,Riolu,,Fighting,Fighting,4
448,/wiki/Lucario_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d7/448Lucario.png/70px-448Lucario.png,Lucario,,Fighting,Steel,4
449,/wiki/Hippopotas_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ab/449Hippopotas.png/70px-449Hippopotas.png,Hippopotas,,Ground,Ground,4
450,/wiki/Hippowdon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5f/450Hippowdon.png/70px-450Hippowdon.png,Hippowdon,,Ground,Ground,4
451,/wiki/Skorupi_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/47/451Skorupi.png/70px-451Skorupi.png,Skorupi,,Poison,Bug,4
452,/wiki/Drapion_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/13/452Drapion.png/70px-452Drapion.png,Drapion,,Poison,Dark,4
453,/wiki/Croagunk_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fa/453Croagunk.png/70px-453Croagunk.png,Croagunk,,Poison,Fighting,4
454,/wiki/Toxicroak_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8b/454Toxicroak.png/70px-454Toxicroak.png,Toxicroak,,Poison,Fighting,4
455,/wiki/Carnivine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/df/455Carnivine.png/70px-455Carnivine.png,Carnivine,,Grass,Grass,4
456,/wiki/Finneon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/45/456Finneon.png/70px-456Finneon.png,Finneon,,Water,Water,4
457,/wiki/Lumineon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f0/457Lumineon.png/70px-457Lumineon.png,Lumineon,,Water,Water,4
458,/wiki/Mantyke_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bc/458Mantyke.png/70px-458Mantyke.png,Mantyke,,Water,Flying,4
459,/wiki/Snover_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d2/459Snover.png/70px-459Snover.png,Snover,,Grass,Ice,4
460,/wiki/Abomasnow_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3b/460Abomasnow.png/70px-460Abomasnow.png,Abomasnow,,Grass,Ice,4
461,/wiki/Weavile_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d2/461Weavile.png/70px-461Weavile.png,Weavile,,Dark,Ice,4
462,/wiki/Magnezone_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/53/462Magnezone.png/70px-462Magnezone.png,Magnezone,,Electric,Steel,4
463,/wiki/Lickilicky_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/463Lickilicky.png/70px-463Lickilicky.png,Lickilicky,,Normal,Normal,4
464,/wiki/Rhyperior_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d9/464Rhyperior.png/70px-464Rhyperior.png,Rhyperior,,Ground,Rock,4
465,/wiki/Tangrowth_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/32/465Tangrowth.png/70px-465Tangrowth.png,Tangrowth,,Grass,Grass,4
466,/wiki/Electivire_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/23/466Electivire.png/70px-466Electivire.png,Electivire,,Electric,Electric,4
467,/wiki/Magmortar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/467Magmortar.png/70px-467Magmortar.png,Magmortar,,Fire,Fire,4
468,/wiki/Togekiss_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/87/468Togekiss.png/70px-468Togekiss.png,Togekiss,,Fairy,Flying,4
469,/wiki/Yanmega_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e6/469Yanmega.png/70px-469Yanmega.png,Yanmega,,Bug,Flying,4
470,/wiki/Leafeon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f5/470Leafeon.png/70px-470Leafeon.png,Leafeon,,Grass,Grass,4
471,/wiki/Glaceon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/23/471Glaceon.png/70px-471Glaceon.png,Glaceon,,Ice,Ice,4
472,/wiki/Gliscor_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ac/472Gliscor.png/70px-472Gliscor.png,Gliscor,,Ground,Flying,4
473,/wiki/Mamoswine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d0/473Mamoswine.png/70px-473Mamoswine.png,Mamoswine,,Ice,Ground,4
474,/wiki/Porygon-Z_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/24/474Porygon-Z.png/70px-474Porygon-Z.png,Porygon-Z,,Normal,Normal,4
475,/wiki/Gallade_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/58/475Gallade.png/70px-475Gallade.png,Gallade,,Psychic,Fighting,4
476,/wiki/Probopass_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a6/476Probopass.png/70px-476Probopass.png,Probopass,,Rock,Steel,4
477,/wiki/Dusknoir_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4f/477Dusknoir.png/70px-477Dusknoir.png,Dusknoir,,Ghost,Ghost,4
478,/wiki/Froslass_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a2/478Froslass.png/70px-478Froslass.png,Froslass,,Ice,Ghost,4
479,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c5/479Rotom.png/70px-479Rotom.png,Rotom,Rotom,Electric,Ghost,4
NA,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/99/479Rotom-Heat.png/70px-479Rotom-Heat.png,Rotom,Heat Rotom,Electric,Fire,4
NA,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ea/479Rotom-Wash.png/70px-479Rotom-Wash.png,Rotom,Wash Rotom,Electric,Water,4
NA,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/77/479Rotom-Frost.png/70px-479Rotom-Frost.png,Rotom,Frost Rotom,Electric,Ice,4
NA,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/64/479Rotom-Fan.png/70px-479Rotom-Fan.png,Rotom,Fan Rotom,Electric,Flying,4
NA,/wiki/Rotom_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/479Rotom-Mow.png/70px-479Rotom-Mow.png,Rotom,Mow Rotom,Electric,Grass,4
480,/wiki/Uxie_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/ef/480Uxie.png/70px-480Uxie.png,Uxie,,Psychic,Psychic,4
481,/wiki/Mesprit_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/40/481Mesprit.png/70px-481Mesprit.png,Mesprit,,Psychic,Psychic,4
482,/wiki/Azelf_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d0/482Azelf.png/70px-482Azelf.png,Azelf,,Psychic,Psychic,4
483,/wiki/Dialga_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8a/483Dialga.png/70px-483Dialga.png,Dialga,,Steel,Dragon,4
NA,/wiki/Dialga_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/82/483Dialga-Origin.png/70px-483Dialga-Origin.png,Dialga,Origin Forme,Steel,Dragon,4
484,/wiki/Palkia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/66/484Palkia.png/70px-484Palkia.png,Palkia,,Water,Dragon,4
NA,/wiki/Palkia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e1/484Palkia-Origin.png/70px-484Palkia-Origin.png,Palkia,Origin Forme,Water,Dragon,4
485,/wiki/Heatran_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b7/485Heatran.png/70px-485Heatran.png,Heatran,,Fire,Steel,4
486,/wiki/Regigigas_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a1/486Regigigas.png/70px-486Regigigas.png,Regigigas,,Normal,Normal,4
487,/wiki/Giratina_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0b/487Giratina.png/70px-487Giratina.png,Giratina,Altered Forme,Ghost,Dragon,4
NA,/wiki/Giratina_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2b/487Giratina-Origin.png/70px-487Giratina-Origin.png,Giratina,Origin Forme,Ghost,Dragon,4
488,/wiki/Cresselia_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4a/488Cresselia.png/70px-488Cresselia.png,Cresselia,,Psychic,Psychic,4
489,/wiki/Phione_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/72/489Phione.png/70px-489Phione.png,Phione,,Water,Water,4
490,/wiki/Manaphy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2e/490Manaphy.png/70px-490Manaphy.png,Manaphy,,Water,Water,4
491,/wiki/Darkrai_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6d/491Darkrai.png/70px-491Darkrai.png,Darkrai,,Dark,Dark,4
492,/wiki/Shaymin_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/61/492Shaymin.png/70px-492Shaymin.png,Shaymin,Land Forme,Grass,Grass,4
NA,/wiki/Shaymin_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/da/492Shaymin-Sky.png/70px-492Shaymin-Sky.png,Shaymin,Sky Forme,Grass,Flying,4
493,/wiki/Arceus_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/fc/493Arceus.png/70px-493Arceus.png,Arceus,Arceus,Normal,Normal,4
494,/wiki/Victini_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/60/494Victini.png/70px-494Victini.png,Victini,,Psychic,Fire,5
495,/wiki/Snivy_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/75/495Snivy.png/70px-495Snivy.png,Snivy,,Grass,Grass,5
496,/wiki/Servine_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/73/496Servine.png/70px-496Servine.png,Servine,,Grass,Grass,5
497,/wiki/Serperior_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b7/497Serperior.png/70px-497Serperior.png,Serperior,,Grass,Grass,5
498,/wiki/Tepig_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/5b/498Tepig.png/70px-498Tepig.png,Tepig,,Fire,Fire,5
499,/wiki/Pignite_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e8/499Pignite.png/70px-499Pignite.png,Pignite,,Fire,Fighting,5
500,/wiki/Emboar_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/18/500Emboar.png/70px-500Emboar.png,Emboar,,Fire,Fighting,5
501,/wiki/Oshawott_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3b/501Oshawott.png/70px-501Oshawott.png,Oshawott,,Water,Water,5
502,/wiki/Dewott_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e4/502Dewott.png/70px-502Dewott.png,Dewott,,Water,Water,5
503,/wiki/Samurott_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/b5/503Samurott.png/70px-503Samurott.png,Samurott,,Water,Water,5
NA,/wiki/Samurott_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/39/503Samurott-Hisui.png/70px-503Samurott-Hisui.png,Samurott,Hisuian Form,Water,Dark,5
504,/wiki/Patrat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cb/504Patrat.png/70px-504Patrat.png,Patrat,,Normal,Normal,5
505,/wiki/Watchog_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/505Watchog.png/70px-505Watchog.png,Watchog,,Normal,Normal,5
506,/wiki/Lillipup_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7e/506Lillipup.png/70px-506Lillipup.png,Lillipup,,Normal,Normal,5
507,/wiki/Herdier_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/96/507Herdier.png/70px-507Herdier.png,Herdier,,Normal,Normal,5
508,/wiki/Stoutland_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/3e/508Stoutland.png/70px-508Stoutland.png,Stoutland,,Normal,Normal,5
509,/wiki/Purrloin_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/46/509Purrloin.png/70px-509Purrloin.png,Purrloin,,Dark,Dark,5
510,/wiki/Liepard_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/09/510Liepard.png/70px-510Liepard.png,Liepard,,Dark,Dark,5
511,/wiki/Pansage_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/6b/511Pansage.png/70px-511Pansage.png,Pansage,,Grass,Grass,5
512,/wiki/Simisage_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/24/512Simisage.png/70px-512Simisage.png,Simisage,,Grass,Grass,5
513,/wiki/Pansear_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/e/e1/513Pansear.png/70px-513Pansear.png,Pansear,,Fire,Fire,5
514,/wiki/Simisear_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/7c/514Simisear.png/70px-514Simisear.png,Simisear,,Fire,Fire,5
515,/wiki/Panpour_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2f/515Panpour.png/70px-515Panpour.png,Panpour,,Water,Water,5
516,/wiki/Simipour_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/83/516Simipour.png/70px-516Simipour.png,Simipour,,Water,Water,5
517,/wiki/Munna_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/61/517Munna.png/70px-517Munna.png,Munna,,Psychic,Psychic,5
518,/wiki/Musharna_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2d/518Musharna.png/70px-518Musharna.png,Musharna,,Psychic,Psychic,5
519,/wiki/Pidove_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c3/519Pidove.png/70px-519Pidove.png,Pidove,,Normal,Flying,5
520,/wiki/Tranquill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a3/520Tranquill.png/70px-520Tranquill.png,Tranquill,,Normal,Flying,5
521,/wiki/Unfezant_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/d/d0/521Unfezant.png/70px-521Unfezant.png,Unfezant,,Normal,Flying,5
522,/wiki/Blitzle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/af/522Blitzle.png/70px-522Blitzle.png,Blitzle,,Electric,Electric,5
523,/wiki/Zebstrika_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a1/523Zebstrika.png/70px-523Zebstrika.png,Zebstrika,,Electric,Electric,5
524,/wiki/Roggenrola_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/69/524Roggenrola.png/70px-524Roggenrola.png,Roggenrola,,Rock,Rock,5
525,/wiki/Boldore_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/ce/525Boldore.png/70px-525Boldore.png,Boldore,,Rock,Rock,5
526,/wiki/Gigalith_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/5/59/526Gigalith.png/70px-526Gigalith.png,Gigalith,,Rock,Rock,5
527,/wiki/Woobat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/36/527Woobat.png/70px-527Woobat.png,Woobat,,Psychic,Flying,5
528,/wiki/Swoobat_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/9/9d/528Swoobat.png/70px-528Swoobat.png,Swoobat,,Psychic,Flying,5
529,/wiki/Drilbur_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/cf/529Drilbur.png/70px-529Drilbur.png,Drilbur,,Ground,Ground,5
530,/wiki/Excadrill_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/63/530Excadrill.png/70px-530Excadrill.png,Excadrill,,Ground,Steel,5
531,/wiki/Audino_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/f/f5/531Audino.png/70px-531Audino.png,Audino,,Normal,Normal,5
532,/wiki/Timburr_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/6/69/532Timburr.png/70px-532Timburr.png,Timburr,,Fighting,Fighting,5
533,/wiki/Gurdurr_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/ad/533Gurdurr.png/70px-533Gurdurr.png,Gurdurr,,Fighting,Fighting,5
534,/wiki/Conkeldurr_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/1/11/534Conkeldurr.png/70px-534Conkeldurr.png,Conkeldurr,,Fighting,Fighting,5
535,/wiki/Tympole_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c9/535Tympole.png/70px-535Tympole.png,Tympole,,Water,Water,5
536,/wiki/Palpitoad_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/c/c9/536Palpitoad.png/70px-536Palpitoad.png,Palpitoad,,Water,Ground,5
537,/wiki/Seismitoad_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/3/35/537Seismitoad.png/70px-537Seismitoad.png,Seismitoad,,Water,Ground,5
538,/wiki/Throh_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/7/74/538Throh.png/70px-538Throh.png,Throh,,Fighting,Fighting,5
539,/wiki/Sawk_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/a/a8/539Sawk.png/70px-539Sawk.png,Sawk,,Fighting,Fighting,5
540,/wiki/Sewaddle_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/4/4a/540Sewaddle.png/70px-540Sewaddle.png,Sewaddle,,Bug,Grass,5
541,/wiki/Swadloon_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/2/2b/541Swadloon.png/70px-541Swadloon.png,Swadloon,,Bug,Grass,5
542,/wiki/Leavanny_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/8/8e/542Leavanny.png/70px-542Leavanny.png,Leavanny,,Bug,Grass,5
543,/wiki/Venipede_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/0/0e/543Venipede.png/70px-543Venipede.png,Venipede,,Bug,Poison,5
544,/wiki/Whirlipede_(Pok%C3%A9mon),//archives.bulbagarden.net/media/upload/thumb/b/bc/544Whirlipede.png/70px-544Whirlipede.png,Whirlipede,,Bug,Poison,5
